AIRPORT_ID,AIRPORT_ABR,CITY_NAME,STATE_ABR,STATE_NM
13296,MHT,"Manchester, NH",NH,New Hampshire
13303,MIA,"Miami, FL",FL,Florida
13342,MKE,"Milwaukee, WI",WI,Wisconsin
13344,MKG,"Muskegon, MI",MI,Michigan
13360,MLB,"Melbourne, FL",FL,Florida
13367,MLI,"Moline, IL",IL,Illinois
13377,MLU,"Monroe, LA",LA,Louisiana
13422,MOB,"Mobile, AL",AL,Alabama
13433,MOT,"Minot, ND",ND,North Dakota
13459,MQT,"Marquette, MI",MI,Michigan
13476,MRY,"Monterey, CA",CA,California
13485,MSN,"Madison, WI",WI,Wisconsin
13486,MSO,"Missoula, MT",MT,Montana
13487,MSP,"Minneapolis, MN",MN,Minnesota
13495,MSY,"New Orleans, LA",LA,Louisiana
13502,MTJ,"Montrose/Delta, CO",CO,Colorado
13541,MVY,"Martha's Vineyard, MA",MA,Massachusetts
13577,MYR,"Myrtle Beach, SC",SC,South Carolina
13795,OAJ,"Jacksonville/Camp Lejeune, NC",NC,North Carolina
13796,OAK,"Oakland, CA",CA,California
13830,OGG,"Kahului, HI",HI,Hawaii
13851,OKC,"Oklahoma City, OK",OK,Oklahoma
13871,OMA,"Omaha, NE",NE,Nebraska
13873,OME,"Nome, AK",AK,Alaska
13891,ONT,"Ontario, CA",CA,California
13930,ORD,"Chicago, IL",IL,Illinois
13931,ORF,"Norfolk, VA",VA,Virginia
13933,ORH,"Worcester, MA",MA,Massachusetts
13964,OTH,"North Bend/Coos Bay, OR",OR,Oregon
13970,OTZ,"Kotzebue, AK",AK,Alaska
14006,PAH,"Paducah, KY",KY,Kentucky
14025,PBG,"Plattsburgh, NY",NY,New York
14027,PBI,"West Palm Beach/Palm Beach, FL",FL,Florida
14057,PDX,"Portland, OR",OR,Oregon
14098,PHF,"Newport News/Williamsburg, VA",VA,Virginia
14100,PHL,"Philadelphia, PA",PA,Pennsylvania
14107,PHX,"Phoenix, AZ",AZ,Arizona
14108,PIA,"Peoria, IL",IL,Illinois
14109,PIB,"Hattiesburg/Laurel, MS",MS,Mississippi
14113,PIH,"Pocatello, ID",ID,Idaho
14122,PIT,"Pittsburgh, PA",PA,Pennsylvania
14150,PLN,"Pellston, MI",MI,Michigan
14193,PNS,"Pensacola, FL",FL,Florida
14222,PPG,"Pago Pago, TT",TT,U.S. Pacific Trust Territories and Possessions
14252,PSC,"Pasco/Kennewick/Richland, WA",WA,Washington
14254,PSE,"Ponce, PR",PR,Puerto Rico
14256,PSG,"Petersburg, AK",AK,Alaska
14262,PSP,"Palm Springs, CA",CA,California
14307,PVD,"Providence, RI",RI,Rhode Island
14321,PWM,"Portland, ME",ME,Maine
14457,RAP,"Rapid City, SD",SD,South Dakota
14487,RDD,"Redding, CA",CA,California
14489,RDM,"Bend/Redmond, OR",OR,Oregon
14492,RDU,"Raleigh/Durham, NC",NC,North Carolina
14520,RHI,"Rhinelander, WI",WI,Wisconsin
14524,RIC,"Richmond, VA",VA,Virginia
14543,RKS,"Rock Springs, WY",WY,Wyoming
14570,RNO,"Reno, NV",NV,Nevada
14574,ROA,"Roanoke, VA",VA,Virginia
14576,ROC,"Rochester, NY",NY,New York
